Name,Integrality_Gap,Stop_Condition,Iterations,Time(msec),Check_Feasibility,Objvalue
Simple,0.006192856662078162,1.0,51.0,194.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,83.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,91.0,0.0,4597.525298231181
CDFP,0.003137333397309235,1.0,101.0,308.0,1.0,2545.1111111111113
BenchMark2,0.0,0.0,0.0,28.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,49.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,33.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,171.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,100.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,95.0,0.0,4597.525298231181
CDFP,0.0,0.0,24.0,125.0,1.0,2378.0
BenchMark2,0.0,0.0,0.0,85.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,142.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,64.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,183.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,74.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,100.0,0.0,4597.525298231181
CDFP,0.0020937174155061114,1.0,101.0,470.0,0.0,3548.3701915970205
BenchMark2,0.0,0.0,0.0,41.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,96.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,71.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,193.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,136.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,87.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,186.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,80.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,104.0,0.0,4597.525298231181
CDFP,0.0022931231099327177,1.0,101.0,564.0,0.0,3595.523658391664
BenchMark2,0.0,0.0,0.0,77.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,63.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,89.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,171.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,26.0,108.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,92.0,0.0,4597.525298231181
CDFP,0.005140701991578088,1.0,1001.0,3915.0,0.0,3413.3097301305506
BenchMark2,0.0,0.0,0.0,119.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,48.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,64.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,191.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,110.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,96.0,0.0,4597.525298231181
CDFP,0.001362876050813979,1.0,10001.0,35438.0,0.0,3916.6150698761894
BenchMark2,0.0,0.0,0.0,20.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,48.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,46.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,212.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,95.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,130.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,185.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,88.0,0.0,8693.0
Aggressive,0.003235198295532359,1.0,11.0,78.0,0.0,4597.525298231181
CDFP,0.004297276676585143,1.0,10001.0,27880.0,0.0,3939.751113262047
BenchMark2,0.0,0.0,0.0,17.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,19.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,30.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,175.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,102.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,96.0,0.0,4597.525298231181
CDFP,0.0,0.0,4881.0,16062.0,0.0,4734.0
BenchMark2,0.0,0.0,0.0,29.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,83.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,59.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,189.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,82.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,114.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,186.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,92.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,110.0,0.0,4597.525298231181
CDFP,0.0,0.0,12827.0,45167.0,0.0,4975.0
BenchMark2,0.0,0.0,0.0,26.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,66.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,32.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,179.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,26.0,97.0,0.0,8819.0
Aggressive,0.003235198295532359,1.0,11.0,96.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,176.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,111.0,0.0,8693.0
Aggressive,0.003235198295532359,1.0,11.0,74.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,192.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,24.0,115.0,0.0,8819.0
Aggressive,0.003235198295532359,1.0,11.0,114.0,0.0,4597.525298231181
CDFP,0.0,0.0,87.0,709.0,0.0,7165.0
BenchMark2,0.0,0.0,0.0,22.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,41.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,49.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,168.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,23.0,91.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,90.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,178.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,122.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,91.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,174.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,115.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,108.0,0.0,4597.525298231181
CDFP,0.0,0.0,87.0,745.0,0.0,7165.0
BenchMark2,0.0,0.0,0.0,25.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,100.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,44.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,197.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,111.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,99.0,0.0,4597.525298231181
CDFP,0.0,0.0,87.0,673.0,0.0,7165.0
BenchMark2,0.0,0.0,0.0,42.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,41.0,0.0,4258.0
